NUM,CODE,Country,Continent,Cluster,Human_population_2010,Cov,Cov_L,Cov_U
89,AFG,Afghanistan,Asia,Eurasia,29116000,0.01,0,0.02
133,ALB,Albania,Europe,EasternEurope,3169000,,,
1,DZA,Algeria,Africa,NorthAfrica,35419000,,,
134,AND,Andorra,Europe,EU,83365,,,
2,AGO,Angola,Africa,Congo,18992000,,,
54,ATG,Antigua and Barbuda,Americas,Carribbean,87689,,,
55,ARG,Argentina,Americas,SouthernCone,40666000,0.206599203,0,0.8
135,ARM,Armenia,Europe,EasternEurope,3091000,,,
177,AUS,Australia,Oceania,Oceania,21511000,,,
136,AUT,Austria,Europe,EU,8386000,,,
137,AZE,Azerbaijan,Europe,Eurasia,8932000,,,
56,BHS,Bahamas,Americas,Carribbean,345000,,,
90,BHR,Bahrain,Asia,MiddleEast,809000,,,
91,BGD,Bangladesh,Asia,Asia_3,164423000,,,
57,BRB,Barbados,Americas,Carribbean,256000,,,
138,BLR,Belarus,Europe,EasternEurope,9592000,,,
139,BEL,Belgium,Europe,EU,10700000,,,
58,BLZ,Belize,Americas,CentralAmericaMexico,314000,,,
3,BEN,Benin,Africa,Francophone,9213000,,,
92,BTN,Bhutan,Asia,Asia_3,708000,0.1,0,0.2
59,BOL,Bolivia,Americas,Andean,10028000,0.776641929,0.698977736,0.862935477
140,BIH,Bosnia and Herzegovina,Europe,EasternEurope,3759000,,,
4,BWA,Botswana,Africa,SADC,1978000,,,
60,BRA,Brazil,Americas,Brazil,195424000,0.6885,0.61965,0.765
93,BRN,Brunei Darussalam,Asia,Asia_1,408000,,,
141,BGR,Bulgaria,Europe,EasternEurope,7498000,,,
5,BFA,Burkina Faso,Africa,Francophone,16284000,,,
6,BDI,Burundi,Africa,Congo,8521000,,,
94,KHM,Cambodia,Asia,Asia_2,15055000,0.006,0.004,0.01
7,CMR,Cameroon,Africa,Francophone,19958000,,,
61,CAN,Canada,Americas,NorthAmerica,33891000,,,
8,CPV,Cape Verde,Africa,Francophone,513000,,,
9,CAF,Central African Republic,Africa,Congo,4504000,,,
10,TCD,Chad,Africa,Francophone,11505000,,,
